"variable_id","rho1","p_value1","fdr1","rho2","p_value2","fdr2","Molecule_Type"
"MONOAB",0.436169334,0.000352389,0.008633536,0.41669805,0.00075454,0.01398828,"ClinicalLabs"
"MONO",0.419472005,0.00062143,0.010150023,0.41275552,0.00085643,0.01398828,"ClinicalLabs"
"A1C",0.320650659,0.010402261,0.101942155,0.38774365,0.00184721,0.01999973,"ClinicalLabs"
"RDW",0.352488881,0.0046067,0.056432077,0.38435463,0.00204079,0.01999973,"ClinicalLabs"
"PDGFBB",0.357897897,0.000275765,0.017097414,0.35339851,0.00035769,0.0221765,"Cytokines"
"LIPM",0.372732504,0.000184102,0.710938222,0.35275784,0.00045461,0.7759604,"Transcripts"
"NOB1",0.321295041,0.001413525,0.741655199,0.34811293,0.00054652,0.7759604,"Transcripts"
"LOC101929608",0.329861082,0.001030744,0.710938222,0.33370282,0.00095064,0.7759604,"Transcripts"
"ACAA2",0.355065699,0.000385601,0.710938222,0.32967713,0.00110445,0.7759604,"Transcripts"
"MIG",0.278233327,0.005295049,0.124434636,0.32960209,0.00091922,0.02849579,"Cytokines"
"CD14",0.330693992,0.000999087,0.710938222,0.32605221,0.00126197,0.7759604,"Transcripts"
"ATP10B",0.306425832,0.002394078,0.808496855,0.32118752,0.00150541,0.7759604,"Transcripts"
